"Application","Time","Text"
"com.samsung.android.app.contacts","May 7, 08:52 PM","Nickeruuuussss"

"com.facebook.orca","May 7, 08:52 PM","No "

"com.samsung.android.app.contacts","May 7, 06:19 PM","Name"

"com.google.android.apps.youtube.music","May 7, 06:19 PM","apparently "

"app.revanced.android.apps.youtube.music","May 7, 06:16 PM","apparently j cole"

"com.facebook.katana","May 7, 06:12 PM","j c"

"com.facebook.katana","May 7, 06:11 PM","we "

"com.facebook.katana","May 7, 06:11 PM","Love. By Kendrick Lamar "

"com.google.android.googlequicksearchbox","May 7, 06:10 PM","love lyrics "

"com.google.android.googlequicksearchbox","May 7, 06:08 PM","Search…"

"com.google.android.googlequicksearchbox","May 7, 06:08 PM","rap"

"com.google.android.googlequicksearchbox","May 7, 06:08 PM","Search…"

"com.google.android.googlequicksearchbox","May 7, 06:08 PM","kendick lamar love"

"com.google.android.googlequicksearchbox","May 7, 06:08 PM","rap"

"com.facebook.katana","May 7, 06:03 PM","tristan moyes"

"com.facebook.katana","May 7, 05:58 PM","So cute!!!"

"com.facebook.katana","May 7, 05:58 PM","Ask Meta AI anything"

"com.samsung.android.app.contacts","May 7, 05:55 PM","N"

"com.samsung.android.app.contacts","May 7, 05:52 PM","Nik"
